Ruc;Razón Social;Fecha Liquidación;Sector;Segmento;Provincia;Costo Contingente;Beneficiarios
1891735037001;COOPERATIVA DE AHORRO Y CREDITO DESARROLLO POPULAR LTDA. ENLIQUIDACION;2018-06-14;COOP - SFPS;5;TUNGURAHUA;$21.785,13;381
0190380149001;COOPERATIVA DE AHORRO Y CREDITO FUTURO PROGRESISTA LTDA.;2018-02-07;COOP - SFPS;5;AZUAY;$12.081,32;186
0591722190001;COOPERATIVA DE AHORRO Y CREDITO ACCION SOLIDARIA;2017-12-29;COOP - SFPS;5;COTOPAXI;$95.011,36;1.429
1391725752001;COOPERATIVA DE AHORRO Y CREDITO DE LA CONSTRUCCION;2017-12-28;COOP - SFPS;5;MANABÍ;$19.808,15;1.056
1891737854001;COOPERATIVA DE AHORRO Y CREDITO TRINIDAD LTDA.;2017-12-21;COOP - SFPS;5;TUNGURAHUA;$35.306,46;768
1891738567001;COOPERATIVA DE AHORRO Y CREDITO PRODUFINSA;2017-12-21;COOP - SFPS;4;TUNGURAHUA;$80.734,52;624
0190336859001;COOPERATIVA DE AHORRO Y CREDITO UNION Y PROGRESO;2017-12-01;COOP - SFPS;5;AZUAY;$16.482,92;163
1792151147001;COOPERATIVA DE AHORRO Y CREDITO DESARROLLO INTEGRAL;2017-11-17;COOP - SFPS;5;PICHINCHA;$33.068,66;1.020
0691715051001;COOPERATIVA DE AHORRO Y CREDITO DESARROLLO ANDINO;2017-09-22;COOP - SFPS;5;CHIMBORAZO;$47.491,15;367
0691722554001;COOPERATIVA DE AHORRO Y CREDITO BANCO PROINDIO AMERICANO LTDA.;2017-09-22;COOP - SFPS;5;CHIMBORAZO;$31.278,21;403
1891730388001;COOPERATIVA DE AHORRO Y CREDITO MIRACHINA;2017-09-22;COOP - SFPS;5;TUNGURAHUA;$39.473,47;849
0691726878001;COOPERATIVA DE AHORRO Y CREDITO ÑUKA LLAKTA;2017-08-18;COOP - SFPS;5;CHIMBORAZO;$165.933,02;4.347
1891720595001;COOPERATIVA DE AHORRO Y CREDITO SUMAK ÑAN LTDA;2017-07-28;COOP - SFPS;5;TUNGURAHUA;$62.112,39;2.561
1891725864001;COOPERATIVA DE AHORRO Y CREDITO JUAN BENIGNO VELA LTDA.;2017-04-07;COOP - SFPS;5;TUNGURAHUA;$2.917,26;77
0990593418001;COOPERATIVA DE AHORRO Y CREDITO INSTITUTO NACIONAL DE HIGIENE LEOPOLDO IZQUIETA PEREZ;2017-02-08;COOP - SFPS;5;GUAYAS;$1.000,00;1
0992224819001;COOPERATIVA DE AHORRO Y CREDITO 27 DE AGOSTO;2016-12-29;COOP - SFPS;5;GUAYAS;$4.118,31;13
1891717004001;COOPERATIVA DE AHORRO Y CREDITO INKA KIPU EN LIQUIDACION;2016-12-29;COOP - SFPS;5;TUNGURAHUA;$49.302,86;109
1891742637001;COOPERATIVA DE AHORRO Y CREDITO CREDI OPCION EN LIQUIDACION;2016-12-29;COOP - SFPS;5;TUNGURAHUA;$32.936,56;1.091
1891749186001;COOPERATIVA DE AHORRO Y CREDITO JUVENTUD SOLIDARIA EN LIQUIDACION;2016-12-29;COOP - SFPS;5;TUNGURAHUA;$5.062,74;354
1891708684001;COOPERATIVA DE AHORRO Y CREDITO RUNAPAK RIKCHARI LTDA. EN LIQUIDACION;2016-11-18;COOP - SFPS;5;TUNGURAHUA;$24.605,91;213
1891719023001;COOPERATIVA DE AHORRO Y CREDITO SUMAK RUNA LTDA EN LIQUIDACION;2016-07-25;COOP - SFPS;5;TUNGURAHUA;$16.323,96;402
0691722252001;COOPERATIVA DE AHORRO Y CREDITO SAN ALFONSO LTDA EN LIQUIDACION;2016-06-30;COOP - SFPS;5;TUNGURAHUA;$69.601,59;566
1490801045001;COOPERATIVA DE AHORRO Y CREDITO MORONA LTDA. EN LIQUIDACION;2016-06-30;COOP - SFPS;5;MORONA SANTIAGO;$7.183,54;79
1792278503001;COOPERATIVA DE AHORRO Y CREDITO PRO DESARROLLO LTDA. EN LIQUIDACION;2016-06-30;COOP - SFPS;5;PICHINCHA;$13.856,95;437
0391012431001;COOPERATIVA DE AHORRO Y CREDITO LOS KAÑARIS EN LIQUIDACION;2016-06-29;COOP - SFPS;5;CAÑAR;$70.178,68;614
0591720953001;COOPERATIVA DE AHORRO Y CREDITO VIRGEN DEL CARMEN EN LIQUIDACION;2016-06-29;COOP - SFPS;5;COTOPAXI;$23.971,94;302
0691711498001;COOPERATIVA DE AHORRO Y CREDITO 7 DE OCTUBRE EN LIQUIDACION;2016-06-29;COOP - SFPS;5;CHIMBORAZO;$6.045,24;92
1891739180001;COOPERATIVA DE AHORRO Y CREDITO PRESTAMOS DEL SUR LTDA EN LIQUIDACION;2016-06-29;COOP - SFPS;5;TUNGURAHUA;$27.064,61;468
1891746020001;COOPERATIVA DE AHORRO Y CREDITO KICHWAS EN LIQUIDACION;2016-06-29;COOP - SFPS;5;TUNGURAHUA;$26.166,73;284
0691713814001;COOPERATIVA DE AHORRO Y CREDITO CACHA DUCHICELA EN LIQUIDACION;2016-06-14;COOP - SFPS;5;CHIMBORAZO;$61.398,73;272
0691733300001;COOPERATIVA DE AHORRO Y CREDITO COLTENITA AYLLUCUNAPAC LTDA  EN LIQUIDACION;2016-06-14;COOP - SFPS;5;CHIMBORAZO;$27.596,51;1.455
0691733378001;COOPERATIVA DE AHORRO Y CREDITO ALTAS CUMBRES LTDA EN LIQUIDACION;2016-06-14;COOP - SFPS;5;CHIMBORAZO;$1.145,96;54
0992708565001;COOPERATIVA DE AHORRO Y CREDITO CAJA DE ACERO DE LOS TRABAJADORES DE LA CIA. TALME S.A. EN LIQUIDACION;2016-06-14;COOP - SFPS;5;GUAYAS;$433,76;6
1791978455001;COOPERATIVA DE AHORRO Y CREDITO COMUNA EJIDO EN LIQUIDACION;2016-06-14;COOP - SFPS;5;PICHINCHA;$6.789,75;98
0190322661001;COOPERATIVA DE AHORRO Y CREDITO COLEGIO DE ARQUITECTOS DEL AZUAY EN LIQUIDACION;2016-05-30;COOP - SFPS;5;AZUAY;$15.700,43;375
1191726711001;COOPERATIVA DE AHORRO Y CREDITO DEL PRODUCTOR Y COMERCIANTE DE SAN LUCAS CADECPROC-SL EN LIQUIDACION;2016-05-30;COOP - SFPS;5;LOJA;$4.013,28;126
1792102391001;COOPERATIVA DE AHORRO Y CREDITO LA BRAMADORA EN LIQUIDACION;2016-05-30;COOP - SFPS;5;MANABÍ;$26.832,03;804
1891737501001;COOPERATIVA DE AHORRO Y CREDITO CODESE - ECUADOR EN LIQUIDACION;2016-05-30;COOP - SFPS;5;TUNGURAHUA;$6.584,07;231
1590017007001;COOPERATIVA DE AHORRO Y CREDITO UNION AMAZONICA;2016-05-26;COOP - SFPS;5;NAPO;$17.331,49;119
0891700288001;COOPERATIVA DE AHORRO Y CREDITO DE LOS EMPLEADOS JUDICIALES DE ESMERALDAS EN LIQUIDACION;2016-05-24;COOP - SFPS;5;ESMERALDAS;$10.510,92;13
1891736947001;COOPERATIVA DE AHORRO Y CREDITO DESARROLLO ESCOLAR COMUNITARIO LTDA EN LIQUIDACION;2016-05-24;COOP - SFPS;5;TUNGURAHUA;$3.200,00;10
1891749429001;COOPERATIVA DE AHORRO Y CREDITO NUEVOS LUCHADORES EN LIQUIDACION;2016-05-17;COOP - SFPS;5;TUNGURAHUA;$6.560,13;196
0591705628001;COOPERATIVA DE AHORRO Y CREDITO NUEVA ESPERANZA LTDA. - LATACUNGA EN LIQUIDACION;2016-05-16;COOP - SFPS;5;COTOPAXI;$12.074,71;140
1190083272001;COOPERATIVA DE AHORRO Y CREDITO MERCADO CENTRO COMERCIAL LOJA;2016-05-16;COOP - SFPS;5;LOJA;$2.138,69;85
1891717136001;COOPERATIVA DE AHORRO Y CREDITO PRODEPA LTDA EN LIQUIDACION;2016-05-16;COOP - SFPS;5;TUNGURAHUA;$40.637,34;50
1792387825001;COOPERATIVA DE AHORRO Y CREDITO TAMBILLO EN LIQUIDACION;2016-03-29;COOP - SFPS;5;PICHINCHA;$33.934,19;677
0992658282001;COOPERATIVA DE AHORRO Y CREDITO MUNICIPAL AGROCOMERCIAL LTDA EN LIQUIDACION;2016-03-24;COOP - SFPS;5;MANABÍ;$2.446,61;70
0992740779001;COOPERATIVA DE AHORRO Y CREDITO LTDA. APOYO FAMILIAR EN LIQUIDACION;2016-03-24;COOP - SFPS;5;GUAYAS;$370,00;2
1191736997001;COOPERATIVA DE AHORRO Y CREDITO PARA EL DESARROLLO DEL SUR BANSUR LTDA EN LIQUIDACION;2016-03-24;COOP - SFPS;5;LOJA;$31.401,56;385
0190131424001;COOPERATIVA DE AHORRO Y CREDITO ELECTRO PAUTE EN LIQUIDACION;2016-03-22;COOP - SFPS;5;AZUAY;$83.722,14;210
0991505083001;COOPERATIVA DE AHORRO Y CREDITO 3 DE JUNIO DEL COLEGIO FISCAL JOSE MARIA VELASCO IBARRA EN LIQUIDACION;2016-03-22;COOP - SFPS;5;GUAYAS;$34.709,06;45
1191733246001;COOPERATIVA DE AHORRO Y CREDITO EL EMPRENDEDOR EN LIQUIDACION;2016-03-22;COOP - SFPS;5;LOJA;$2.240,47;51
1791237242001;COOPERATIVA DE AHORRO Y CREDITO VISION MUNDIAL EN LIQUIDACION;2016-03-22;COOP - SFPS;5;PICHINCHA;$24.726,75;68
1191735702001;COOPERATIVA DE AHORRO Y CREDITO PROBIENESTAR LTDA EN LIQUIDACION;2016-03-21;COOP - SFPS;4;LOJA;$64.547,30;1.238
1191724530001;COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO DE PALANDA LTDA. EN LIQUIDACION;2016-03-16;COOP - SFPS;5;ZAMORA CHINCHIPE;$23.028,87;305
1191738329001;COOPERATIVA DE AHORRO Y CREDITO MIGRANTES Y EMPRENDEDORES LTDA EN LIQUIDACION;2016-03-16;COOP - SFPS;5;LOJA;$24.107,80;397
1792353521001;COOPERATIVA DE AHORRO Y CREDITO ACCION INDIGENA EN LIQUIDACION;2016-03-16;COOP - SFPS;5;PICHINCHA;$31.387,62;36
1891745040001;COOPERATIVA DE AHORRO Y CREDITO CONTINENTAL EN LIQUIDACION;2016-03-16;COOP - SFPS;5;TUNGURAHUA;$38.973,30;937
0190343847001;COOPERATIVA DE AHORRO Y CREDITO COOPTSUR TESORO DEL SUR LTDA EN LIQUIDACION;2015-10-21;COOP - SFPS;5;AZUAY;$16.225,81;178
0190360008001;COOPERATIVA DE AHORRO Y CREDITO COTOPAXI PROGRESISTA EN LIQUIDACION;2015-10-21;COOP - SFPS;5;AZUAY;$1.131,56;109
0291500064001;COOPERATIVA DE AHORRO Y CREDITO LUZ Y PROGRESO LTDA  EN LIQUIDACION;2015-10-21;COOP - SFPS;5;BOLÍVAR;$9.351,63;183
0591710389001;COOPERATIVA DE AHORRO Y CREDITO COTOPAXI LTDA EN LIQUIDACION EN LIQUIDACION;2015-10-21;COOP - SFPS;5;COTOPAXI;$14.684,06;359
1891735053001;COOPERATIVA DE AHORRO Y CREDITO REY DE LOS ANDES LTDA. EN LIQUIDACION;2015-10-21;COOP - SFPS;5;TUNGURAHUA;$1.402,01;2
1891737633001;COOPERATIVA DE AHORRO Y CREDITO SAN PEDRO DE PELILEO LTDA. EN LIQUIDACION;2015-10-21;COOP - SFPS;5;TUNGURAHUA;$41.115,07;487
1890124077001;COOPERATIVA DE AHORRO Y CREDITO CACPET TUNGURAHUA EN LIQUIDACION;2015-08-24;COOP - SFPS;2;TUNGURAHUA;$734.990,99;7.109
0391013306001;COOPERATIVA DE AHORRO Y CREDITO EFKA EN LIQUIDACION;2015-05-20;COOP - SFPS;5;CAÑAR;$22.210,93;650
0391014558001;COOPERATIVA DE AHORRO Y CREDITO FINANCIERA AMERICA COOPAMERICA LTDA. EN LIQUIDACION;2015-05-20;COOP - SFPS;5;CAÑAR;$31.189,88;184
1891741959001;COOPERATIVA DE AHORRO Y CREDITO SUMAK YARI EN LIQUIDACION;2015-03-20;COOP - SFPS;4;TUNGURAHUA;$364.473,55;7.672
1391747942001;COOPERATIVA DE AHORRO Y CREDITO CHARAPOTO LTDA. EN LIQUIDACION;2014-12-02;COOP - SFPS;N/D;MANABÍ;$8.780,48;170
1291713501001;COOPERATIVA DE AHORRO Y CREDITO CREDI-AHORRO LTDA. LOS RIOS EN LIQUIDACION;2014-09-05;COOP - SFPS;N/D;LOS RÍOS;$6.950,64;8
1791281322001;BANCO SUDAMERICANO EN LIQUIDACION;2014-08-25;BANCO - SFP;;PICHINCHA;$1.721.707,57;8.334
1291737591001;COOPERATIVA DE AHORRO Y CREDITO EL DISCAPACITADO EN LIQUIDACION;2014-08-15;COOP - SFPS;N/D;GUAYAS;$23.730,00;30
0992579765001;COOPERATIVA DE AHORRO Y CREDITO GUARUMAL DEL CENTRO LTDA. EN LIQUIDACION;2014-08-06;COOP - SFPS;N/D;GUAYAS;$6.789,09;106
1291734622001;COOPERATIVA DE AHORRO Y CREDITO BUENA FE LTDA. EN LIQUIDACION;2014-08-06;COOP - SFPS;N/D;LOS RÍOS;$22.973,88;66
1391773021001;COOPERATIVA DE AHORRO Y CREDITO CRUCITA LTDA EN LIQUIDACION;2014-06-19;COOP - SFPS;N/D;MANABÍ;$6.570,97;20
1691704536001;COOPERATIVA DE AHORRO Y CREDITO AMAZONAS LTDA. EN LIQUIDACION;2014-06-10;COOP - SFPS;N/D;PASTAZA;$661.913,24;20.275
1391700261001;COOPERATIVA DE AHORRO Y CREDITO OLMEDO LTDA. EN LIQUIDACION;2014-04-10;COOP - SFPS;N/D;MANABÍ;$132.174,42;1.016
1891724892001;COOPERATIVA DE AHORRO Y CREDITO YUYAK RUNA LTDA. EN LIQUIDACION;2014-04-10;COOP - SFPS;N/D;TUNGURAHUA;$286.364,81;8.604
0291510981001;COOPERATIVA DE AHORRO Y CREDITO MONSEÑOR CANDIDO RADA LTDA EN LIQUIDACION;2014-04-09;COOP - SFPS;N/D;BOLÍVAR;$7.727,29;86
1891710697001;COOPERATIVA DE AHORRO Y CREDITO FORTALEZA INDIGENA EN LIQUIDACION;2014-04-09;COOP - SFPS;N/D;TUNGURAHUA;$9.912,16;1.169
1792077354001;COOPERATIVA DE AHORRO Y CREDITO COMUNIDAD EMPRESARIAL PARA EL DESARROLLO SOCIAL CEDES LTDA. EN LIQUIDACION;2014-03-26;COOP - SFPS;N/D;PICHINCHA;$118.158,18;168
1691712059001;COOPERATIVA DE AHORRO Y CREDITO SOL DE ORIENTE LTDA EN LIQUIDACION;2013-10-08;COOP - SFPS;N/D;PASTAZA;$15.809,49;616
1791021029001;COOPERATIVA DE AHORRO Y CREDITO CACPE SANTO DOMINGO EN LIQUIDACION;2013-10-06;COOP - SFPS;N/D;SANTO DOMINGO DE LOS TSÁCHILAS;$29.838,95;33
1791746562001;COOPERATIVA DE AHORRO Y CREDITO FACC FONDO DE AHORRO Y CREDITO COOPERATIVO EN LIQUIDACION;2013-09-13;COOP - SFPS;N/D;PICHINCHA;$258.993,39;398
0992415894001;COOPERATIVA DE AHORRO Y CREDITO MAKITA KUK EN LIQUIDACION;2013-09-11;COOP - SFPS;N/D;GUAYAS;$19.765,53;38
0190322637001;COOPERATIVA DE AHORRO Y CREDITO COOPERA EN LIQUIDACION;2013-06-12;COOP - SFPS;N/D;AZUAY;$10.203.253,22;106.497
0990029105001;BANCO TERRITORIAL EN LIQUIDACION;2013-03-17;BANCO - SFP;;GUAYAS;$53.547.613,94;50.903
1792266246001;COOPERATIVA DE AHORRO Y CREDITO COOP. CATAR LTDA. ENLIQUIDACION;2023-09-01;COOP - SFPS;3;PICHINCHA;$1.031.876,16;3.403
0691721965001;COOPERATIVA DE AHORRO Y CREDITO SEMBRANDO FUTURO ENLIQUIDACION;2022-07-21;COOP - SFPS;5;CHIMBORAZO;$2.800,00;3
0990064474001;SEGUROS SUCRE S.A. EN LIQUIDACION;2021-11-24;ASEGURADORA;;GUAYAS;$381.195,05;509
0990162158001;COOPERATIVA DE AHORRO Y CREDITO GRAN COLOMBIA ENLIQUIDACION;2021-11-09;COOP - SFPS;4;GUAYAS;$43.800,00;46
1792204801001;COOPERATIVA DE AHORRO Y CREDITO SULTANA DE LOS ANDES ENLIQUIDACION;2021-09-15;COOP - SFPS;5;PICHINCHA;$3.058,33;4
0691702561001;COOPERATIVA DE AHORRO Y CRÉDITO CAJA INDIGENA  PURUHA LTDA. ENLIQUIDACION;2021-08-18;COOP - SFPS;5;CHIMBORAZO;$15.958,67;100
0591709917001;COOPERATIVA DE AHORRO Y CREDITO EXITO LTDA. ENLIQUIDACION;2021-07-08;COOP - SFPS;5;COTOPAXI;$22.153,95;190
1891716679001;COOPERATIVA DE AHORRO Y CREDITO WUIÑARISHUN CRECEREMOS ENLIQUIDACION;2021-04-21;COOP - SFPS;5;TUNGURAHUA;$123.772,26;944
1791289846001;COOPERATIVA DE AHORRO Y CREDITO 23 DE MAYO LTDA. ENLIQUIDACION;2020-09-29;COOP - SFPS;4;PICHINCHA;$246.669,90;2.286
0691739295001;COOPERATIVA DE AHORRO Y CREDITO ACHUPALLAS LTDA. ENLIQUIDACION;2020-09-03;COOP - SFPS;5;CHIMBORAZO;$20.576,50;332
1891723306001;COOPERATIVA DE AHORRO Y CREDITO 21 DE NOVIEMBRE LTDA. ENLIQUIDACION;2020-07-01;COOP - SFPS;5;TUNGURAHUA;$43.302,50;1.132
0591703897001;COOPERATIVA DE AHORRO Y CREDITO FRAY MANUEL SALCEDO LTDA. ENLIQUIDACION;2020-02-12;COOP - SFPS;4;COTOPAXI;$872.695,80;3.148
0291506445001;COOPERATIVA DE AHORRO Y CREDITO CURI WASI LTDA ENLIQUIDACION;2020-01-21;COOP - SFPS;5;BOLIVAR;$6.100,03;101
1891725791001;COOPERATIVA DE AHORRO Y CREDITO SEMBRANDO UN NUEVO PAIS ENLIQUIDACION;2020-01-21;COOP - SFPS;3;TUNGURAHUA;$4.344.106,43;12.773
0491508094001;COOPERATIVA DE AHORRO Y CREDITO 10 DE SEPTIEMBRE ENLIQUIDACION;2019-12-11;COOP - SFPS;5;CARCHI;$3.042,82;21
0990846685001;COOPERATIVA DE AHORRO Y CREDITO NUESTRA SEÑORA DE LAS MERCEDES LTDA. ENLIQUIDACION;2019-08-05;COOP - SFPS;4;GUAYAS;$132.771,73;242
1691705753001;COOPERATIVA DE AHORRO Y CREDITO MUSHUK YUYAI - PASTAZA LTDA. ENLIQUIDACION;2019-04-03;COOP - SFPS;4;PASTAZA;$170.893,58;2.843
1390016588001;COOPERATIVA DE AHORRO Y CREDITO CACPE MANABI ENLIQUIDACION;2018-10-04;COOP - SFPS;5;MANABI;$23.870,13;914
0790030745001;COOPERATIVA DE AHORRO Y CREDITO EDUCADORES DE EL ORO LTDA;2018-09-25;COOP - SFPS;4;EL ORO;$218.060,85;326
1891707769001;COOPERATIVA DE AHORRO Y CREDITO KURIÑAN;2018-08-16;COOP - SFPS;5;TUNGURAHUA;$35.509,60;831
1792284597001;COOPERATIVA DE AHORRO Y CREDITO VENCEDORES DE PICHINCHA LTDA CACVP;2018-07-20;COOP - SFPS;5;PICHINCHA;$33.234,71;785
0992631872001;COOPERATIVA DE AHORRO Y CREDITO ESPERANZA Y DESARROLLO;2018-05-09;COOP - SFPS;5;GUAYAS;$152.123,54;435
0691708322001;COOPERATIVA DE AHORRO Y CREDITO SHOBOL LLIN LLIN LTDA;2018-03-06;COOP - SFPS;5;CHIMBORAZO;$25.497,66;298
1891746756001;COOPERATIVA DE AHORRO Y CREDITO AYNI- SUIZA ENLIQUIDACION;2018-02-07;COOP - SFPS;5;TUNGURAHUA;$47.552,10;316
0691716694001;COOPERATIVA DE AHORRO Y CREDITO ALAUSI LTDA;2017-12-28;COOP - SFPS;5;AZUAY;$75.532,94;1.621
1792229197001;COOPERATIVA DE AHORRO Y CREDITO COOPREVID;2017-08-10;COOP - SFPS;5;PICHINCHA;$2.061,39;3
1190035545001;COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO DE LOJA LTDA;2017-08-04;COOP - SFPS;3;LOJA;$1.517.929,94;9.273
1191739392001;COOPERATIVA DE AHORRO Y CREDITO LOJA INTERNACIONAL LTDA;2017-08-04;COOP - SFPS;3;LOJA;$1.572.881,51;3.290
1891747930001;COOPERATIVA DE AHORRO Y CREDITO CREDIPAC;2017-06-30;COOP - SFPS;5;TUNGURAHUA;$23.784,71;214
1792079276001;COOPERATIVA DE AHORRO Y CREDITO PARA EMPRESAS COMUNITARIAS COOCREDITO LTDA EN LIQUIDACION;2017-03-10;COOP - SFPS;5;PICHINCHA;$89.683,46;1.665
0992715634001;COOPERATIVA DE AHORRO Y CREDITO CREDIPACIFICO LTDA. - GUAYAS  EN LIQUIDACION;2017-01-27;COOP - SFPS;5;GUAYAS;$7.470,00;8
1790773434001;COOPERATIVA DE AHORRO Y CREDITO COFEM LTDA. EN LIQUIDACION;2017-01-27;COOP - SFPS;4;PICHINCHA;$553.601,87;4.921
1792195381001;COOPERATIVA DE AHORRO Y CREDITO CMB CREDI EN LIQUIDACION;2017-01-13;COOP - SFPS;4;PICHINCHA;$100.934,41;1.150
